delay1,delay2,total_delay,threads,reverse,MB_sec
0,0,0,1,0,1123
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1123
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1120
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1123
0,0,0,1,0,1123
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1123
0,0,0,1,0,1122
0,0,0,1,0,1121
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1120
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1123
0,0,0,1,0,1122
0,0,0,1,0,1123
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1123
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1121
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1123
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1123
0,0,0,1,0,1122
0,0,0,1,0,1123
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1123
0,0,0,1,0,1122
0,0,0,1,0,1119
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1121
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1123
0,0,0,1,0,1122
0,0,0,1,0,1123
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,0,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1121
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
0,0,0,1,1,1122
